imo,mmsi,name,flag,type
9526411,710495000,"NPAOC ARAGUARI",BR,"Patrol Vessel"
9526409,710494000,"BRS APA",BR,"Patrol Vessel"
9526394,710493000,"NPAOC AMAZONAS",BR,"Patrol Vessel"
9668752,710335000,"STARNAV REGULUS",BR,Cargo
8617081,710319500,"M\V PIRAI",BR,"Crude Oil Tanker"
9467158,710295000,"ALIANCA ENERGIA",BR,"General Cargo"
8617067,710267000,PIQUETE,BR,"Crude Oil Tanker"
7801764,710256000,"NT NEUSA",BR,"Oil Products Tanker"
7801752,710255000,NARA,BR,"Oil Products Tanker"
7801740,710254000,NORMA,BR,"Oil Products Tanker"
7921899,710253000,GUAPORE,BR,"Lpg Tanker"
7921875,710252000,GUARUJA,BR,"Lpg Tanker"
8516897,710248000,GURUPI,BR,"Lpg Tanker"
8506438,710247000,GURUPA,BR,"Lpg Tanker"
8506426,710246000,GRAJAU,BR,"Lpg Tanker"
9668740,710245000,"STARNAV URSUS",BR,"Offshore Supply Ship"
7801726,710244000,NILZA,BR,"Oil Products Tanker"
7921887,710243000,GUARA,,"Lpg Tanker"
7801714,710242000,MAISA,BR,"Oil Products Tanker"
7801702,710240000,DILYA,BR,"Oil Products Tanker"
9453810,710239000,"ZUMBI DOS PALMARES",BR,Tanker
9668738,710238000,"STARNAV CENTAURUS",BR,"Cargo A"
7801697,710237000,DIVA,BR,"Oil Products Tanker"
9644122,710236000,TAGAZ,BR,"Offshore Supply Ship"
9453315,710234000,"JOAO CANDIDO",BR,"Crude Oil Tanker"
9687368,710231000,"BRAM BOA VISTA",BR,"Not available"
9578660,710218000,"SIEM ATLAS",BR,"Offshore Supply Ship"
9056399,710172000,"NORSUL CRATEUS",BR,"Bulk Carrier"
8301814,710159000,"NT LAMBARI",BR,"Oil Products Tanker"
9679218,710123456,"WS CYGNUS",BR,"Not available"
9573141,710112233,DELPHINUS,BR,Tug
9256834,710088000,GUANACO,BR,"Oil/Chemical Tanker"
9648726,710086000,"CREST CRYSTAL",BR,Tug
8610019,710082000,"CASTILLO PLASENCIA",BR,"Oil/Chemical Tanker"
9318434,710076000,"CBO CHIARA",BR,Tug
